Code,Disease
86152,Cell enumeration id
86152,Cell enumeration
86152,enumeration id
86152,enumeration id Cell
86153,Cell enumeration phys interp
86153,Cell enumeration
86153,enumeration phys
86153,phys interp
86153,phys Cell enumeration interp
86890,Autologous blood process
86890,Autologous blood
86890,blood process
86890,process blood Autologous
86891,Autologous blood op salvage
86891,Autologous blood
86891,blood op
86891,op salvage
86891,blood Autologous op salvage
86927,Plasma fresh frozen
86927,Plasma fresh
86927,fresh frozen
86927,frozen fresh Plasma
86930,Frozen blood prep
86930,Frozen blood
86930,blood prep
86930,blood prep Frozen
86931,Frozen blood thaw
86931,Frozen blood
86931,blood thaw
86931,thaw blood Frozen
86932,Frozen blood freeze/thaw
86932,Frozen blood
86932,blood freeze/thaw
86945,Blood product/irradiation
86950,Leukacyte transfusion
86950,transfusion Leukacyte
86960,Vol reduction of blood/prod
86960,Vol reduction
86960,reduction of
86960,of blood/prod
86960,of blood/prod Vol reduction
86965,Pooling blood platelets
86965,Pooling blood
86965,blood platelets
86965,blood Pooling platelets
86985,Split blood or products
86985,Split blood
86985,blood or
86985,or products
86985,or Split blood products
0008M,Onc breast risk score
0008M,Onc breast
0008M,breast risk
0008M,risk score
0008M,Onc score risk breast
0011M,Onc prst8 ca mrna 12 gen alg
0011M,Onc prst8
0011M,prst8 ca
0011M,ca mrna
0011M,mrna 12
0011M,12 gen
0011M,gen alg
0011M,12 gen alg mrna ca prst8 Onc
0012M ,Onc mrna 5 gen rsk urthl ca
0012M ,Onc mrna
0012M ,mrna 5
0012M ,5 gen
0012M ,gen rsk
0012M ,rsk urthl
0012M ,urthl ca
0012M ,Onc gen ca mrna rsk urthl 5
0013M ,Onc mrna 5 gen recr urthl ca
0013M ,Onc mrna
0013M ,mrna 5
0013M ,5 gen
0013M ,gen recr
0013M ,recr urthl
0013M ,urthl ca
0013M ,recr ca Onc mrna 5 urthl gen
0016M,Onc bladder mrna 219 gen alg
0016M,Onc bladder
0016M,bladder mrna
0016M,mrna 219
0016M,219 gen
0016M,gen alg
0016M,Onc 219 alg gen mrna bladder
0017M,Onc dlbcl mrna 20 genes alg
0017M,Onc dlbcl
0017M,dlbcl mrna
0017M,mrna 20
0017M,20 genes
0017M,genes alg
0017M,genes Onc dlbcl 20 alg mrna
0018U,Onc thyr 10 microrna seq alg
0018U,Onc thyr
0018U,thyr 10
0018U,10 microrna
0018U,microrna seq
0018U,seq alg
0018U,alg 10 seq Onc thyr microrna
0019U,Onc rna tiss predict alg
0019U,Onc rna
0019U,rna tiss
0019U,tiss predict
0019U,predict alg
0019U,Onc predict alg tiss rna
0021U,Onc prst8 detcj 8 autoantb
0021U,Onc prst8
0021U,prst8 detcj
0021U,detcj 8
0021U,8 autoantb
0021U,prst8 detcj autoantb Onc 8
0022U,Trgt gen seq dnarna 1-23 gn
0022U,Trgt gen
0022U,gen seq
0022U,seq dnarna
0022U,dnarna 1-23
0022U,1-23 gn
0022U,dnarna gn 1-23 Trgt seq gen
0023U,Onc aml dna detcj/nondetcj
0023U,Onc aml
0023U,aml dna
0023U,dna detcj/nondetcj
0023U,Onc aml detcj/nondetcj dna
0024U,Glyca nuc mr spectrsc quan
0024U,Glyca nuc
0024U,nuc mr
0024U,mr spectrsc
0024U,spectrsc quan
0024U,mr quan Glyca spectrsc nuc
0025U,Tenofovir liq chrom ur quan
0025U,Tenofovir liq
0025U,liq chrom
0025U,chrom ur
0025U,ur quan
0025U,chrom ur Tenofovir liq quan
0026U,Onc thyr dnamrna 112 genes
0026U,Onc thyr
0026U,thyr dnamrna
0026U,dnamrna 112
0026U,112 genes
0026U,Onc genes thyr dnamrna 112
0027U,Jak2 gene trgt seq alys
0027U,Jak2 gene
0027U,gene trgt
0027U,trgt seq
0027U,seq alys
0027U,trgt seq Jak2 alys gene
0029U,Rx metab advrs trgt seq alys
0029U,Rx metab
0029U,metab advrs
0029U,advrs trgt
0029U,trgt seq
0029U,seq alys
